time_step,replica_index,time,relative_energy_error
0.0015,0,0,0
0.0015,0,0.015,-2.92453309868e-07
0.0015,0,0.03,-1.24507472795e-06
0.0015,0,0.045,-3.7304314895e-06
0.0015,0,0.06,-8.13863885227e-06
0.0015,0,0.075,-1.21802351946e-05
0.0015,0,0.09,-9.21746384329e-06
0.0015,0,0.105,-6.35225792431e-06
0.0015,0,0.12,-6.59246049434e-06
0.0015,0,0.135,-4.90631019438e-06
0.0015,0,0.15,-3.63580153457e-06
0.0015,0,0.165,-4.2164058442e-06
0.0015,0,0.18,-6.48534362826e-06
0.0015,0,0.195,-9.82021772414e-06
0.0015,0,0.21,-1.10592115037e-05
0.0015,0,0.225,-8.53347821658e-06
0.0015,0,0.24,-6.74297729498e-06
0.0015,0,0.255,-7.50947056441e-06
0.0015,0,0.27,-7.91008446305e-06
0.0015,0,0.285,-7.88614860676e-06
0.0015,0,0.3,-7.55635148988e-06
0.0015,0,0.315,-7.97925093868e-06
0.0015,0,0.33,-9.02159819791e-06
0.0015,0,0.345,-9.57566713952e-06
0.0015,0,0.36,-8.68544327113e-06
0.0015,0,0.375,-7.83974501216e-06
0.0015,0,0.39,-8.57798376184e-06
0.0015,0,0.405,-8.82881227199e-06
0.0015,0,0.42,-8.65966338515e-06
0.0015,0,0.435,-8.47368294648e-06
0.0015,0,0.45,-1.00385541254e-05
0.0015,0,0.465,-1.12547709668e-05
0.0015,0,0.48,-1.12841091129e-05
0.0015,0,0.495,-9.14759415742e-06
0.0015,0,0.51,-6.91465976112e-06
0.0015,0,0.525,-6.76697937054e-06
0.0015,0,0.54,-9.29038445322e-06
0.0015,0,0.555,-1.15059500487e-05
0.0015,0,0.57,-1.09418889384e-05
0.0015,0,0.585,-9.16310842867e-06
0.0015,0,0.6,-9.53784239567e-06
0.0015,0,0.615,-1.08410884253e-05
0.0015,0,0.63,-1.16427881364e-05
0.0015,0,0.645,-1.21659101102e-05
0.0015,0,0.66,-1.20578851554e-05
0.0015,0,0.675,-1.11974683258e-05
0.0015,0,0.69,-8.98160896514e-06
0.0015,0,0.705,-8.44364861317e-06
0.0015,0,0.72,-1.03272048589e-05
0.0015,0,0.735,-1.13302602887e-05
0.0015,0,0.75,-9.67417494547e-06
0.0015,0,0.765,-7.69506035636e-06
0.0015,0,0.78,-9.46126813883e-06
0.0015,0,0.795,-1.1160857144e-05
0.0015,0,0.81,-1.12338878574e-05
0.0015,0,0.825,-1.24032069727e-05
0.0015,0,0.84,-1.51728285162e-05
0.0015,0,0.855,-1.37542251612e-05
0.0015,0,0.87,-1.09223519096e-05
0.0015,0,0.885,-1.23611310629e-05
0.0015,0,0.9,-1.2553124216e-05
0.0015,0,0.915,-1.18845104354e-05
0.0015,0,0.93,-1.07802526876e-05
0.0015,0,0.945,-1.03773428643e-05
0.0015,0,0.96,-1.18675026819e-05
0.0015,0,0.975,-1.2665253837e-05
0.0015,0,0.99,-1.05027881714e-05
0.0015,0,1.005,-8.83072111659e-06
0.0015,0,1.02,-1.02129097391e-05
0.0015,0,1.035,-1.19517810282e-05
0.0015,0,1.05,-1.24152584075e-05
0.0015,0,1.065,-1.08165921927e-05
0.0015,0,1.08,-9.92711619988e-06
0.0015,0,1.095,-9.35386410483e-06
0.0015,0,1.11,-9.97588473686e-06
0.0015,0,1.125,-1.12729805823e-05
0.0015,0,1.14,-1.06507623992e-05
0.0015,0,1.155,-7.860665491e-06
0.0015,0,1.17,-7.89990356669e-06
0.0015,0,1.185,-1.00971406264e-05
0.0015,0,1.2,-1.15883420002e-05
0.0015,0,1.215,-1.00214340182e-05
0.0015,0,1.23,-8.26061633441e-06
0.0015,0,1.245,-8.47536002923e-06
0.0015,0,1.26,-1.04335957522e-05
0.0015,0,1.275,-1.18018407808e-05
0.0015,0,1.29,-8.23777519102e-06
0.0015,0,1.305,-4.21862492862e-06
0.0015,0,1.32,-7.0789853302e-06
0.0015,0,1.335,-8.29337574429e-06
0.0015,0,1.35,-6.93049104969e-06
0.0015,0,1.365,-7.27711617383e-06
0.0015,0,1.38,-8.68630416414e-06
0.0015,0,1.395,-8.23000802278e-06
0.0015,0,1.41,-6.9080164455e-06
0.0015,0,1.425,-6.78303314409e-06
0.0015,0,1.44,-7.0053513802e-06
0.0015,0,1.455,-6.36340537587e-06
0.0015,0,1.47,-6.64950826628e-06
0.0015,0,1.485,-7.76335096975e-06
0.0015,0,1.5,-9.4474553362e-06
0.0015,0,1.515,-9.75928579427e-06
0.0015,0,1.53,-8.31169707015e-06
0.0015,0,1.545,-7.38452917209e-06
0.0015,0,1.56,-8.36507278028e-06
0.0015,0,1.575,-8.29470564975e-06
0.0015,0,1.59,-8.71608818848e-06
0.0015,0,1.605,-1.00224290701e-05
0.0015,0,1.62,-1.07970067378e-05
0.0015,0,1.635,-9.54020103437e-06
0.0015,0,1.65,-8.88019837915e-06
0.0015,0,1.665,-9.86409990169e-06
0.0015,0,1.68,-1.00230942068e-05
0.0015,0,1.695,-1.01793318016e-05
0.0015,0,1.71,-1.15304821844e-05
0.0015,0,1.725,-1.14145158255e-05
0.0015,0,1.74,-9.70708651603e-06
0.0015,0,1.755,-6.75082834455e-06
0.0015,0,1.77,-7.73009969167e-06
0.0015,0,1.785,-1.21032888617e-05
0.0015,0,1.8,-1.55365783965e-05
0.0015,1,0,0
0.0015,1,0.015,-2.04984508839e-07
0.0015,1,0.03,-1.01329164943e-06
0.0015,1,0.045,-2.81976998766e-06
0.0015,1,0.06,-5.26262609509e-06
0.0015,1,0.075,-9.20590993322e-06
0.0015,1,0.09,-1.20363601108e-05
0.0015,1,0.105,-1.00514262774e-05
0.0015,1,0.12,-3.34597026326e-06
0.0015,1,0.135,8.18056766909e-08
0.0015,1,0.15,-2.88675544548e-06
0.0015,1,0.165,-5.67022969293e-06
0.0015,1,0.18,-7.64300207347e-06
0.0015,1,0.195,-9.20439514812e-06
0.0015,1,0.21,-8.87906945386e-06
0.0015,1,0.225,-7.42438777923e-06
0.0015,1,0.24,-6.69590344602e-06
0.0015,1,0.255,-7.67025563472e-06
0.0015,1,0.27,-7.75095917772e-06
0.0015,1,0.285,-7.56275475681e-06
0.0015,1,0.3,-7.20657064001e-06
0.0015,1,0.315,-7.44801535633e-06
0.0015,1,0.33,-7.44683511434e-06
0.0015,1,0.345,-7.87617136923e-06
0.0015,1,0.36,-8.01144218469e-06
0.0015,1,0.375,-6.58192974483e-06
0.0015,1,0.39,-7.28374934991e-06
0.0015,1,0.405,-8.1583720372e-06
0.0015,1,0.42,-7.74558686249e-06
0.0015,1,0.435,-7.68832924542e-06
0.0015,1,0.45,-8.96283028893e-06
0.0015,1,0.465,-9.91459708164e-06
0.0015,1,0.48,-8.46530902751e-06
0.0015,1,0.495,-6.78258751371e-06
0.0015,1,0.51,-6.17751253392e-06
0.0015,1,0.525,-8.01577252253e-06
0.0015,1,0.54,-8.54577829796e-06
0.0015,1,0.555,-8.911493569e-06
0.0015,1,0.57,-8.9546121644e-06
0.0015,1,0.585,-8.892727286e-06
0.0015,1,0.6,-8.53280817689e-06
0.0015,1,0.615,-8.1257522191e-06
0.0015,1,0.63,-7.88170307879e-06
0.0015,1,0.645,-8.67454001147e-06
0.0015,1,0.66,-9.72373313492e-06
0.0015,1,0.675,-9.9561995124e-06
0.0015,1,0.69,-1.02880485042e-05
0.0015,1,0.705,-8.97042587361e-06
0.0015,1,0.72,-7.22277162623e-06
0.0015,1,0.735,-9.10080857624e-06
0.0015,1,0.75,-9.7818993765e-06
0.0015,1,0.765,-8.31385689521e-06
0.0015,1,0.78,-8.24475094179e-06
0.0015,1,0.795,-9.09501395726e-06
0.0015,1,0.81,-9.4652055312e-06
0.0015,1,0.825,-7.77107319391e-06
0.0015,1,0.84,-7.39973360153e-06
0.0015,1,0.855,-8.88453897687e-06
0.0015,1,0.87,-1.22480898655e-05
0.0015,1,0.885,-1.24316413462e-05
0.0015,1,0.9,-9.70330895905e-06
0.0015,1,0.915,-6.36605909965e-06
0.0015,1,0.93,-6.41157816594e-06
0.0015,1,0.945,-9.05149810749e-06
0.0015,1,0.96,-9.90663750705e-06
0.0015,1,0.975,-9.6654025321e-06
0.0015,1,0.99,-9.5205073439e-06
0.0015,1,1.005,-8.33454266694e-06
0.0015,1,1.02,-7.01827486167e-06
0.0015,1,1.035,-8.98798845308e-06
0.0015,1,1.05,-1.12643861166e-05
0.0015,1,1.065,-1.15010090657e-05
0.0015,1,1.08,-9.98874007431e-06
0.0015,1,1.095,-8.70687934497e-06
0.0015,1,1.11,-8.2234140956e-06
0.0015,1,1.125,-9.61121184717e-06
0.0015,1,1.14,-1.10581777947e-05
0.0015,1,1.155,-1.0918586826e-05
0.0015,1,1.17,-1.03903208637e-05
0.0015,1,1.185,-1.0565647516e-05
0.0015,1,1.2,-1.01775931548e-05
0.0015,1,1.215,-1.03125351192e-05
0.0015,1,1.23,-1.14383270387e-05
0.0015,1,1.245,-1.06630066282e-05
0.0015,1,1.26,-9.30144340491e-06
0.0015,1,1.275,-9.15885895472e-06
0.0015,1,1.29,-1.00334961679e-05
0.0015,1,1.305,-1.10045581085e-05
0.0015,1,1.32,-1.08999020559e-05
0.0015,1,1.335,-1.02610860354e-05
0.0015,1,1.35,-1.13785322275e-05
0.0015,1,1.365,-1.27243124937e-05
0.0015,1,1.38,-1.31853917907e-05
0.0015,1,1.395,-1.33014579256e-05
0.0015,1,1.41,-1.30705840559e-05
0.0015,1,1.425,-1.27457699853e-05
0.0015,1,1.44,-1.34717632912e-05
0.0015,1,1.455,-1.38600293303e-05
0.0015,1,1.47,-1.32019713693e-05
0.0015,1,1.485,-1.2418313835e-05
0.0015,1,1.5,-1.31701143283e-05
0.0015,1,1.515,-1.43886650482e-05
0.0015,1,1.53,-1.3831381214e-05
0.0015,1,1.545,-1.33604007704e-05
0.0015,1,1.56,-1.30263839381e-05
0.0015,1,1.575,-1.31345863846e-05
0.0015,1,1.59,-1.4355167657e-05
0.0015,1,1.605,-1.48933557714e-05
0.0015,1,1.62,-1.26279622747e-05
0.0015,1,1.635,-1.07464785681e-05
0.0015,1,1.65,-1.32642944681e-05
0.0015,1,1.665,-1.6536046646e-05
0.0015,1,1.68,-1.72615722257e-05
0.0015,1,1.695,-1.70697847383e-05
0.0015,1,1.71,-1.42608177857e-05
0.0015,1,1.725,-1.17136221364e-05
0.0015,1,1.74,-1.1635793587e-05
0.0015,1,1.755,-1.40522793173e-05
0.0015,1,1.77,-1.72771533869e-05
0.0015,1,1.785,-1.80077234205e-05
0.0015,1,1.8,-1.68694805634e-05
0.0015,2,0,0
0.0015,2,0.015,-1.92221151347e-07
0.0015,2,0.03,-1.36539397843e-06
0.0015,2,0.045,-2.4453478339e-06
0.0015,2,0.06,-5.1275559117e-06
0.0015,2,0.075,-9.01513961704e-06
0.0015,2,0.09,-1.10851121354e-05
0.0015,2,0.105,-8.14786247301e-06
0.0015,2,0.12,-3.51002570206e-06
0.0015,2,0.135,-1.17121577688e-06
0.0015,2,0.15,-1.8656434352e-06
0.0015,2,0.165,-4.21745931706e-06
0.0015,2,0.18,-5.76424611585e-06
