step,replica_0_potential_energy_per_atom,replica_1_potential_energy_per_atom,replica_2_potential_energy_per_atom,replica_3_potential_energy_per_atom,replica_4_potential_energy_per_atom,replica_0_coordination_number,replica_1_coordination_number,replica_2_coordination_number,replica_3_coordination_number,replica_4_coordination_number
1000,-5.49134860761,-5.55471931501,-5.57799652128,-5.65610957088,-5.67394098752,12.2777777778,12.1481481481,12.462962963,12.3703703704,12.2962962963
1020,-5.56502023193,-5.63204224168,-5.44107851322,-5.59815918048,-5.67254318221,12.3703703704,12.2407407407,12.4814814815,12.537037037,12.4444444444
1040,-5.56761835782,-5.58791375092,-5.4288231668,-5.5906346688,-5.67516703668,12.3518518519,12.2037037037,12.4259259259,12.462962963,12.4074074074
1060,-5.56389921299,-5.61140853913,-5.5038055813,-5.61968950614,-5.70324464253,12.3333333333,12.0925925926,12.4074074074,12.4814814815,12.4259259259
1080,-5.53547218073,-5.54260482901,-5.50726672642,-5.64679970197,-5.63115915763,12.3148148148,12.2222222222,12.2777777778,12.3888888889,12.462962963
1100,-5.50274529937,-5.49283615139,-5.47961394622,-5.58938906687,-5.62867916666,12.2592592593,12.2037037037,12.2777777778,12.4259259259,12.462962963
1120,-5.50907363423,-5.57311107285,-5.46532671715,-5.55536762479,-5.5587905329,12.2222222222,12.2592592593,12.3703703704,12.4074074074,12.4074074074
1140,-5.52736969861,-5.59721193116,-5.50268477381,-5.54706057466,-5.56537694423,12.2407407407,12.3703703704,12.3703703704,12.1851851852,12.4259259259
1160,-5.49699409181,-5.53499041816,-5.49722290883,-5.5615676335,-5.63892438731,12.3333333333,12.2592592593,12.4444444444,12.1666666667,12.2962962963
1180,-5.4624057538,-5.59827241217,-5.48745333355,-5.53304186225,-5.621842633,12.4259259259,12.3703703704,12.3333333333,12.2407407407,12.1666666667
1200,-5.47405629484,-5.64395372694,-5.49895207734,-5.36378073326,-5.69859581606,12.2592592593,12.3703703704,12.2407407407,12.3148148148,12.1851851852
1220,-5.47659748758,-5.65319338644,-5.52020926528,-5.45072426773,-5.68843026292,12.3888888889,12.3148148148,12.3333333333,12.3703703704,12.2777777778
1240,-5.51037915184,-5.6856857414,-5.46713425603,-5.50671180376,-5.59372050681,12.4444444444,12.4444444444,12.2407407407,12.3888888889,12.3518518519
1260,-5.53625251945,-5.65268229972,-5.49033514,-5.45656967385,-5.555819694,12.4444444444,12.4074074074,12.2777777778,12.462962963,12.3703703704
1280,-5.56079523826,-5.58074211345,-5.49915693612,-5.45352355563,-5.59561881432,12.4444444444,12.5,12.3148148148,12.3703703704,12.3333333333
1300,-5.53119569501,-5.55915727645,-5.50716178288,-5.54778080098,-5.60145892783,12.4074074074,12.4259259259,12.2777777778,12.3703703704,12.3888888889
1320,-5.49842852125,-5.57731298402,-5.45138924935,-5.51201907583,-5.5448116597,12.3333333333,12.4074074074,12.2037037037,12.462962963,12.4444444444
1340,-5.50378878511,-5.59122286545,-5.48851632419,-5.5276267462,-5.50953146352,12.2037037037,12.537037037,12.2037037037,12.4074074074,12.5740740741
1360,-5.53436206375,-5.52999990638,-5.54406732769,-5.50241540531,-5.54621528871,12.2777777778,12.3888888889,12.2962962963,12.4814814815,12.5925925926
1380,-5.48451060916,-5.57850682397,-5.58865341521,-5.47976838636,-5.55063262047,12.3148148148,12.3888888889,12.2592592593,12.4074074074,12.5740740741
1400,-5.51750621339,-5.6011699988,-5.4972656015,-5.52296305283,-5.68161772131,12.2222222222,12.462962963,12.3148148148,12.462962963,12.5
